quotes,authors
You don't have to be positive all the time.,Amy Purdy
"Since taking office, President Obama has worked to restore a positive vision of American leadership in the world - leadership defined, not by the threats and dangers that we will oppose, but by the security, opportunity and dignity that America advances in partnership with people around the world.",John O. Brennan
"I would absolutely recommend against excessive positivity and optimism. Any positive emotion that you're infusing into a workplace needs to be grounded in reality. If it's not realistic, sincere, meaningful, and individualized, it won't do much good.",Tom Rath
"Bad influences and distractions were around every corner. But I also learned that my neighborhood could be a nurturing, positive place to grow up.",Ayanna Pressley
"I realize I will always be the poster child for police brutality, but I can try to use that as a positive force for healing and restraint.",Rodney King
"I faced quite a few challenging times, and in front of those, I was more positive than some people not facing those conditions. I'm actually of the belief now that it is that struggle that offers you that open-hearted hope.",K'naan
"No one has a life where everything that happened was good. I think the thing that made life good for me is that I never looked back. I've always been positive, no matter what happened.",Wilma Rudolph
I want to be remembered for doing something bigger than myself and making a positive impact on the world. I want to make my life worth something and to die a legend and to make my family proud.,Jessie Reyez
"I don't think I could, with a straight face, describe myself as a completely positive person, but I'm not overly negative, either. On the whole, most writers think plots through to their consequences, and it's not always a sunny place. I have an occupational temperament for anxiety.",James Lasdun
I don't really understand this negative or positive role thing. A role is a role.,Jim Sarbh
"Sometimes negative news does come out, but it is often exaggerated and manipulated to spread scandal. Journalists sometimes risk becoming ill from coprophilia and thus fomenting coprophagia: which is a sin that taints all men and women, that is, the tendency to focus on the negative rather than the positive aspects.",Pope Francis
"In the end, the whole Internet thing kills me, because you can use it as a positive thing or you can read into all the negativity. And I think you've gotta put out positive energy, put out cool viral stuff, and then just stay out of people's opinions.",Nikki Sixx
"I have never won a race, and that is my main disappointment - but you have to be positive.",Jean Alesi
"Although I take the medication, which has made a huge impact on my life in a positive way, still, honestly, when I'm a bit sick is when I'm at my most creative.",Beth Hart
"Most of the people I know who work out seriously do so because they have such an amazing outlook on life. To be who I want to be, I'm going to work out to be more positive, more active. It's proactive.",John Krasinski
"The stereoscopic panoramic videos that we're showing on Samsung VR are getting a lot of positive traction. It's exciting when you see creative types - whether from the music, film, or video industries - look at this stuff. The gears are turning in their head almost immediately about how they can use it as a new medium.",John Carmack
"Internally, we have so many different parts, both positive and negative. And if you force them together, a spark comes out.",Arca
I am not trendy. I am not 'in fashion.' I am simply a positive human being who has a positive outlook on life.,Thierry Mugler
"Over the last three years, UCLA has helped me grow as an athlete, a scholar, and a member of the community. I have made some mistakes along the way; however, I am grateful that I made those mistakes backed by such a supportive and positive university so that I could learn from them and better myself.",Josh Rosen
"In the case of Iraq, notwithstanding the violence there at the moment, the very fact that a hideous regime - responsible for genocide, for the use of chemical and biological weapons, aggression against two neighbors - has been removed in itself is a positive development.",Jose Ramos-Horta
The positive and negative poles of a battery create an electrical flow. The masculine and feminine poles between people create a flow of sexual energy in motion.,David Deida
"Since I've been in Playboy myself in Australia, I love it, and I think it's really empowering and positive towards women, which is not a view that many women hold.",Dannii Minogue
You want to focus on the fans and on the positive energy that you receive from them.,Lance Stroll
"As soon as I starting making YouTube videos, I received so much positive feedback from the online community and a demand for more content. As time went on, my filming schedule became more consistent, and it made sense to hire some help and upgrade my equipment.",Rosanna Pansino
I presume that nobody will deny the positive aspects of the North American cultural world. These are well known to all. But these aspects do not make one forget the disastrous effects of the industrial and commercial process of 'cultural lamination' that the USA is perpetrating on the planet.,Jose Saramago
"The overall vision for 'Utopia' was somewhat of a mix between fantasy, future, and ancient China. All of it soaked in a pastel space sauce to capture the uber positive energy of the music.",Kerli
People look up to me as somebody who is able to switch the image of our country from negative to positive.,Novak Djokovic
"Being a person is really hard, obviously depending on your background for some people it can be much harder, but mental health and how we feel about ourselves is so key to changing the world in a positive way.",Kate Nash
I'm a positive dude.,Madlib
"I've felt that if you dwell too much on your errors, you're dealing in the negativity of things. I don't like that. I'd rather work on the positive reinforcement, the things I did well.",Hale Irwin
"I'm one of five sisters. I'm the younger of twins, and we're the youngest of five girls, and we've always been very close. We were pretty much a gang. I take after my mother a lot in terms of personality and character. She was very positive; always looked on the bright side of things. She had a tough time of it with my dad but did her best.",Jerry Hall
I can take all the negative energy and turn it into a positive simply by purging my soul through music. That's how powerful music can be.,Bow Wow
"It's going to take baby steps to see a complete turnaround. But there's been such a positive outcome from seeing it at Fashion Week. Plus-size fashion shows are being more welcomed into Fashion Week, and having more plus-size women in major magazines.",Ashley Nell Tipton
"To sustain the Trump Revolution, we must empower Trump's champions to drive positive change across America. And we must defeat 'Never Trump' elements wherever we find them.",Matt Gaetz
I have to stay positive and try to find time to do what I want to do while working at the same time.,Lee Min-ho
"What is social proof? Put simply, it's the positive influence created when someone finds out that others are doing something. It's also known as informational social influence.",Aileen Lee
I bought myself a DVD set of 'Lost' and only allowed myself to watch it while I was strength training. Sometimes I'd exercise longer than I intended to because I didn't want to turn it off. Talk about positive reinforcement!,Heidi Roizen
"Having those positive friends around can really make a difference in how you view yourself. It's helped me realize that there's no such thing as having a perfect body, and just because I'm not shaped the same way as another girl is, it doesn't mean I'm not pretty. It just means that no two girls are alike.",Lauren Jauregui
"That's what makes Linux so good: you put in something, and that effort multiplies. It's a positive feedback cycle.",Linus Torvalds
"President Trump has a magnetic personality and exudes positive energy, which is infectious to those around him.",Hope Hicks
"And of course, pop music is all about memorability and simplicity and positive messages and a little dash of joy.",Feist
"I'm pretty positive, optimistic, so I always expect the best.",Jurgen Klopp
You have to think for your team-mates and give them positive response. Whatever happens as a captain you have to take the responsibility. Backing my team-mates and supporting them was the biggest learning.,Ajinkya Rahane
"When I was eight, my piano teacher played seven or eight notes, and I sang them. She stopped and looked at me in shock! That was the first time I'd gotten that reaction. I'd had looks of horror, but never shock in a positive way.",Chris Cornell
Yoga disciplines both the mind and the souls and not just your body. It helps me in having a constant positive outlook in life. I would love my family to adopt this form of fitness as well.,Jacqueline Fernandez
"I've got rid of a lot of cynicism and anger. I feel positive about my development, and I just want to carry on making music and building myself as a person.",King Krule
The influence of blogging is overall a very positive force in the media.,Garrett Graff
"Lower taxes, less regulations, less lawsuits, deals that support U.S. manufacturers is all very positive.",John Paulson
"There is no racial or ethnic involvement in Thanksgiving, and people who may be very distant from the Christian system can see the beauty and the positive spirit that comes from the holiday.",John Clayton
I'm always going to try to win with a positive mindset.,Brock Osweiler
I surrounded myself with very positive people who only wanted the best for me. I loved high school as a whole. I consider myself really lucky.,Gigi Gorgeous
WWE is home; it's a family. I'll always be a part of this as long as I can contribute in some positive way. But I know there's a time when the sun sets on everything.,Big Show
"'Utopia' is a positive and constructive program that gives people the opportunity, if you can start all over again, start from scratch and create laws and make decisions, will you be able to build a society that is better than the one we have; will it be chaos or happiness.","John de Mol, Jr."
"Of the thousands of ways that humans differ from one another, turns out there's this one cluster of traits called conscientiousness that predict a whole host of positive life outcomes, such as longevity over our health, life satisfaction.",Daniel Levitin
"Honestly, I've always been a very positive person and I maintained that even when my family tested COVID positive or when I gave birth in the middle of a pandemic.",Koel Mallick
"Stop being a critic and be a light; don't be a judge, be a model. I think we are far too critical. I think the best way to correct behavior is to accentuate and affirm positive behavior and to ignore negative behavior. Generally speaking, there is a time to correct, of course; but my biggest advice would be, 'Affirm your child.'",Sean Covey
"Kids tend to look up to sports figures and entertainers, probably more than they should, but I've tried to use that in a positive way.",Warren Moon
"I loved all the princess films, and I grew up with them, and I think it's really cool how they've changed over the years - how the princesses have become more positive role models right up until 'Frozen.'",Lily James
"As writers and readers, as sinners and citizens, our realism and our aesthetic sense make us wary of crediting the positive note.",Seamus Heaney
"I lived in the projects and the ghetto, and turned the negative into a positive.",Wyclef Jean
"Prior to getting into music, I interacted with, on a daily basis, about 5-10 percent of the people that I've interacted with since then. I've been meeting people from different backgrounds and different cultures. That did allow for a lot of change. I've changed as a product of that, but it's been positive.",Sam Hunt
A core part of Teach For America's mission has always been affecting positive change in the traditional public school system.,Wendy Kopp
The similarity between my music and The Beatles' music is it has within it a very positive quality. It's woven with humor.,Donovan
There are plenty of studies that have shown that depression is associated with decreased immunity. So I want to harness all of the positive emotional energy I can in a patient to get better.,Allan Hamilton
I've been completely surprised at the outpouring of just incredible amounts of positive feedback and love from people all day long.,Chris March
"I want to be remembered for the good work that I've done, for the positive work, and as somebody who was innovative and who people enjoyed.",Evan Ross
The key thing about wealth in a capitalist economy is that it reproduces itself and usually earns a positive net return.,Robert Solow
"Pride is tough. You go to high school, and its 'pride,' 'courage;' it's all these types of words that we use to motivate us. I don't think there's anywhere in the Scriptures through the saints' lives where pride was ever a positive characteristic of anybody.",Troy Polamalu
"'Grease' changed my life in the most amazing way, and I've had such an amazing life. When things go wrong, you've got to believe you will get through them and focus on the positive things in your life.",Olivia Newton-John
"To protect people's lives and keep our children safe, we must implement public-works spending and do so proudly. If possible, I'd like to see the Bank of Japan purchase all of the construction bonds that we need to issue to cover the cost. That would also forcefully circulate money in the market. That would be positive for the economy, too.",Shinzo Abe
I'm motivated by the positive ways in which Bitcoin use being widespread will make the world a better place.,Roger Ver
So much money and energy is expended making a film that I think it should be used for positive ends.,David Strathairn
We can in fact first place the beam of rays of moving positive atomic ions in a plane perpendicular to the axis in which we see the spectral lines emitted by them.,Johannes Stark
"I'm part of the mushball middle. I consider 'confused' the majority position because, thankfully, most people would rather be uncertain some of the time than 100% positive all the time - even when they're wrong.",Al Franken
I have always felt like I am a positive player.,K. L. Rahul
"Climate change is not an excuse for the EPA to ignore the bounds of law and issue illegal regulations that will cost jobs, shutter industries, and have little to no positive impact on the environment.",Luther Strange
"I always felt that, through it all, there was a really strong, forward, positive, constructive accomplishment by the American people during that period, if you consider that during the period from 1954 to 1965, this country broke through the caste system.",John Doar
"I'm concentrating on the positive, on all the wonderful things I'm doing now.",Tia Carrere
"I never appreciated 'positive heroes' in literature. They are almost always cliches, copies of copies, until the model is exhausted. I prefer perplexity, doubt, uncertainty, not just because it provides a more 'productive' literary raw material, but because that is the way we humans really are.",Jose Saramago
"In high school, in sport, I had a coach who told me I was much better than I thought I was, and would make me do more in a positive sense. He was the first person who taught me not to be afraid of failure.",Mike Krzyzewski
"You know, my goal, once I leave the music business, is like, 'Man, Lupe didn't lead us astray.' It comes directly from Islam: leading people astray is the worst thing you could do. Especially in perpetuity; like, your music continues to go on and live without you. That risk is too great for me; I'm gonna keep it positive.",Lupe Fiasco
"Less tension in the Middle East is always a positive, and any drop in gas prices will essentially act as a tax break for consumers going into the holiday shopping season.",Jeff Duncan
"To be honest with you, the fact that people vibe with my music is just a really positive byproduct of something that is just a reflex to me. The fact that people even care to listen means a lot to me.",Jessie Reyez
"When you are injured and undergoing rehab, it is important to stay positive and not allow negative thoughts to creep in.",Bhuvneshwar Kumar
"Sitting there clapping and smiling... it's difficult. You're like, 'Don't worry about it, you just double faulted, you just played a really dumb point. Keep positive.' Then more clapping. That would annoy me as a player.",John McEnroe
I have always been a very positive person and tried to bring the positives from the hardest moments.,Juan Mata
"Modern Orthodoxy has a highly positive attitude toward the State of Israel. Our Ultra-Orthodox brethren recognize only the Holy Land, but not the state.",Norman Lamm
"I'm enormously proud that I can do a deal with the National Women's Soccer League to showcase the power and passion of women athletes as positive role models, not only for my daughter but also for my son.",Nancy Dubuc
"I am someone who tunes into more ethical journalism, and I'm not someone who dwells a lot on the negative, so I think I'd rather focus on the positive and forge ahead.",Terri Irwin
"JC was good for me. I had a coach who kept me into things and thinking positive. It was good basketball, but more than that it prepared me for the academic scene at a university.",Larry Johnson
"On the surface, 'Book of Mormon' is extremely irreverent, but underneath, there's a great sweetness and a very positive message.",Stephen Schwartz
"Is detachment the answer to freedom? No, because detachment is negative - it is to be without. The answer must be positive - I must replace what I have with something better.",Mother Angelica
"With the Celtic Warrior thing, I wanted to convey a positive sense of Ireland.",Sheamus
"I could've easily gone the other way, but luckily, I had football and the dream to play in the NFL so I could do something positive with my life.",Frank Gore
"When disco came around the first time, there was this real core of progressive thinking and a positive lyrical content - about freedom, the possibilities of love, change and expression.",Jimmy Somerville
We see some positive signs coming from our North American customers. The desire to move fast to 5G is certainly there.,Rajeev Suri
"I can say that every ad that I control, that I'm going to make sure my ads are positive.",John Hickenlooper
It's like a cosmic joke that people dream to perform in front of a huge crowd. But it is a welcomed challenge. I hope I always have that positive apprehension.,Julien Baker
"I kept my age quiet for a good few years. I didn't see it as a positive. I worked remotely, so I just didn't tell people.",Pete Cashmore
"People should focus on my foundation, my projects, and everything positive and important that I am doing in Latin America and the around the world.",Maluma
"I turned 54 this year and I find myself feeling like I'm in a bit of a race to get down on paper the way I really feel about life - or the way it has presented to me. And because it has presented to me very beautifully, this is hard. It is technically very hard to show positive manifestations.",George Saunders
"The proper governmental policy in a depression is strict laissez-faire, including stringent budget slashing, and coupled perhaps with positive encouragement for credit contraction.",Murray Rothbard
"I think it's brain chemistry. I'm a positive, cheerful person, and I think it is absolutely the luck of the draw. I think the life I have had has come largely from the chemicals in my head. I see my life as good, and I think, a lot of times, if you see your life as good, then that's how it turns out.",Ann Patchett
"Unless you are absolutely positive that your wife has no connection to the Mafia, even three or four times removed, do yourself a favor and do not bet her in a poker hand.",Joseph D. Pistone
"You can have nothing and be sad, or you can have nothing and be, like, positive and look at it in a good way and try to make your circumstance better.",Slim Jimmy
"I think we're pretty spiritual people, the band in general. We're not a bunch of hippies or anything like that, but we like to work together and work with people. We believe that positive energy is pretty necessary in life, although it's not always easy to maintain.",John Gourley
"You want positive, go elsewhere. Go find a different lie.",Lydia Lunch
My mother's nickname for me is 'Positive Patrick.' I like to live up to that title.,Patrick Schwarzenegger
"I think no matter how you think about your music, you're ultimately in the music 'business.' I think you have to be business-minded in some sense. And for me, the real goal... is positive intention and social change through music. It doesn't mean that can't turn a profit.",Mary Lambert
"People assume that they will retire at 60 and die when they are 70. If you can think positive, live a healthy life, listen to your body and follow a regime, then you can live for 100 years, healthy and happy.",Hema Malini
"LL Cool J was a rapper-turned-actor, and I also relate to him because he was sort of a ladies' man and had a female fan base, but yet he's a positive dude. You never read about him getting into trouble or going to jail.",Bow Wow
I think that Americans should gradually begin to adopt positive behavior rather than doing evil. They should not expect an immediate reaction in return for their positive measures. It will take time.,Akbar Hashemi Rafsanjani
Neck-down comedy was no longer valid after the 1980s alternative comedy revolution. Everything became about the cerebral. And with that came positive things - it helped get rid of some of the sexism and homophobia - but it also meant a lot of physical comedy was lost.,Lee Mack
Being part of the Fresh Healthy Vending team and the corporate-owned operations division has been incredible thus far. It has given me enough knowledge to take the important facts about healthy vending options to my own personal and professional contacts and expand these positive programs wherever we can.,Steve Finley
"Hoping they'd been inspired by the examples of Anne Frank and other teens who had turned negative experiences into something positive by writing about them, I handed out notebooks for my students to journal about their lives. There was some initial resistance. But then the stories poured out of them, full of anger and sadness.",Erin Gruwell
"I've been hearing this since I first joined the Reds organization, that I'm going to be the next this or that. It's tough on a young player coming up. You show some positive things and everybody jumps on that and says you should be the next Willie Mays.",Eric Davis
How nice it would be to breeze through life and just brush things off. I never read reviews because I hate to lose more than I like to win; I experience negative emotions far greater than positive ones.,Catherine Tate
I would love to be remembered as a wonderfully dynamic and multitalented actress who left a legacy through her work and through her life of helping people and of being a positive force in the world.,Keshia Knight Pulliam
Ujda Chaman' has helped me gain more confidence in my own skills as an actor because it's such an unusual story. Several people asked me to not go for such an unconventional role at such an early stage in my career but I had a positive feeling when I saw the movie.,Sunny Singh
"I have a positive outlook, but when you're out in the public eye, you wonder how people see you.",Nia Jax
People just want to watch people live their authentic lives and share the good and the bad. You can have fun and be a positive influence and have a good impact. And it can still be entertaining.,Tyler Oakley
"I collect crystals and gemstones, and I've been collecting them since I was a little girl. They give me positive energy and strength. They make me feel connected to the earth. I cherish them.",Isabel Lucas
I get so many big ideas while I'm running and such clarity while I'm lifting weights. And staying fit keeps me happy and positive.,Robin S. Sharma
"What's positive is moving from a place of growing in faith to really feeling more grounded in faith, to understand that faith is hard, that I'll stumble, that I'll make mistakes, that I'll sin. But, that's part of being on a faith path; it's part of being a human being.",David Gregory
"I've been in football a long time and one thing you don't do is when things are going well, you don't get carried away. And when they don't, you stay positive.",Chris Coleman
Young people are so positive and have an answer for everything.,Nigel Mansell
"This whole fuss did not only damage Fischer's image, but that of the USA as well. The way the Americans treated one of their most popular citizens did not make a positive impression worldwide.",Anatoly Karpov
"I never thought I'd be able to spread the message of such body positivity, and just being positive in general, but I'm insanely grateful for it.",Nia Jax
"I have spent three and a half wonderful years at Arsenal, and I bring with me very positive memories of that great club and its fans.",Alexis Sanchez
"My mother was in the Army Reserve for six years. She taught me the importance of following rules, finishing what I start, never giving up, leadership skills, teamwork, staying positive, motivated and how to pack the military way when I'm traveling!",Laurie Hernandez
"I have always viewed the mission of Wikipedia to be much bigger than just creating a killer website. We're doing that of course, and having a lot of fun doing it, but a big part of what motivates us is our larger mission to affect the world in a positive way.",Jimmy Wales
"The image that everyone has of a chess player is not necessarily positive. I think it's partly due to Bobby Fischer - his rise to fame and then his descent into madness. That left a lot of people with negative stereotypes, of nerds who aren't interesting.",Hikaru Nakamura
"The images that we see of Africa are so... that are so engrained in our minds are of this place that is terrible - like hell on earth. And that doesn't acknowledge the positive things - the many, many, many positive things - that people are doing.",Uzodinma Iweala
"I don't have much positive to say about motor neuron disease, but it taught me not to pity myself because others were worse off, and to get on with what I still could do. I'm happier now than before I developed the condition.",Stephen Hawking
The feedback that I get from my association with Gomez is heartwarming. It is very difficult for me to take anything but a positive view of the Gomez phenomenon.,John Astin
"Consider all of the possibilities for positive global progress if we utilized nonviolence as the central value of our culture, encompassing our law enforcement and labor practices, which currently include people in numerous nations working for inhumane wages in unhealthy conditions.",Bernice King
"Our locker room is so positive. We are all focused on the same objectives, and that's equality for women.",Naomi
'Firefly' was and always will be such a positive thing for me. I hold a lot of really good memories associated to that show.,Jewel Staite
"I start small. I'm kind to people. I say please, I say thank you, and I always try to be encouraging and positive.",Big Show
"John Edwards makes us all proud to be Americans, and those of us from North Carolina are even more proud to claim him, for he represents the best that we can offer America at a time when strong, positive leadership is needed.",Harvey Gantt
I am incredibly thankful that football has provided me with a platform to give back and I am proud that so many of my colleagues have decided to use this stage to create positive and impactful change in our local communities and around the world.,Chris Long
I hope that I can be a role model and positive influence to anyone else who is struggling with insecurities within themselves.,Alexa Bliss
"As far as vanity and wrinkles and things like that, that's a part of life I don't worry about. I put on creams, you know, but don't go mad, and I don't have any kind of treatments. I just live a healthy lifestyle. And staying happy, not getting negative and angry, I think that helps, looking at the positive of everything.",Jerry Hall
I always welcome being part of something positive in WWE.,Mick Foley
"We need more imagination, more innovation and more public financing for projects and programmes that harness the positive energy of young men.",Rohini Nilekani
"My experience over my five years at Wisconsin and my one year in the NFL was that there were times where I couldn't play the game safely. There are positive measures we can take... but on a lead play, on a power play, there's violence.",Chris Borland
"There's a way that you can throw negativity out there that seems rebellious. But I've always taken pleasure in a different kind of rebellion, which is putting a positive spin on everything, trying to enjoy myself at all times.",Zac Efron
"To generate positive creative friction, you need people who'll tell you 'No.'",Chris Harris
"To be perfectly honest, I feel I have a duty to use my celebrity status in a positive way.",David Schwimmer
There is an inherent hope and positive drive to New Yorkers.,John Oliver
"I never want to record something that I'm not proud of just because I think it might be a big hit. There's no positive about that because if you record a song you hate and it's a big hit, then you're singing a song every night that you hate. And if you record a song that you hate and it isn't a hit, then you sold out for no reason.",Trisha Yearwood
"What I miss is a time when hip-hop music had integrity; there was some kind of message. Not in all the music, because it's not for that, but there was at least something that got through that had some content that was sensible and positive, not just hooky junk-food rap.",Xzibit
"We need more of our young youth graduating from college trying to get their education, and trying to be contributing members, positive contributing members to the community.",Ed Reed
"I am positive that I would see the end of child labour around the world in my lifetime, as the poorest of the poor have realised that education is a tool that can empower them.",Kailash Satyarthi
"I'm such an emotional performer, and my head is always like a rollercoaster, so if I'm in a good place and feeling grateful, that's when I notice that my shows come across as a lot more positive.",Beth Hart
"The dumber half of the audience - whether they're male or female, and a lot of them are male - for some reason responds very quickly to the feminine voice. How can I put it? They kind of instantly react to the female voice in a positive way quicker than they would the male voice.",Frank Black
"I learned early in sports that to be effective - for a player to play the best he can play - is a matter of concentration and being unaware of distractions, positive or negative.",Tom Landry
I have long been a supporter of the Head Start program because each and every year I witness the dramatic positive impact that early intervention services have on children's lives in my congressional district.,Lucille Roybal-Allard
"I mean, you know, I get a tremendous positive charge every day just from knowing these kids and who they are. I mean, Larry, my 12-year-old son is my hero in life. Could there be a greater privilege than that? I mean, I can't imagine anything that would be more exciting.",Jim Lampley
"When my inner mood is positive, I also feel great on the outside.",Liu Wen
"I had to learn how to think as a positive human being, before anything.",Hit-Boy
"I do try to speak of positive things. I still try to, like, present two sides of the story, and I do try to relate to life in a 360 degree and not be one-dimensional. But by all means, manage expectations.",Q-Tip
"Personally, I had a close friend with cystic fibrosis. I won't ever forget how he handled himself. In the face of extreme challenges and very harrowing circumstances, he maintained a positive outlook and was just very dignified, even in his suffering.",Max Carver
"The most direct path to success is a good job, but the road to employment for those with criminal records is often riddled with barriers. Removing those barriers would allow those with records to leave the past behind, support their families, make a positive future - and improve our economy.","Bob Casey, Jr."
"I have great friends around me that are positive and I think that's the key to life is making your own path. Set your own rules because there is no set rule, there is no set look, there is no set anything. You make your own rules in your life. You make your own decisions.",Amber Riley
My dad's gay experiences really had a very positive influence on me and my straight relationships - how to better accept all the weirdness and ambiguity and ups and downs and paradoxes. I knew from the beginning I was writing about love.,Mike Mills
"You know what? I'm not always in a positive, happy place. But I'm able to concentrate enough to come up with a really good song.",Brian Wilson
"I am thrilled to support World of Children and its superlative efforts to fund changemakers around the world. It's a great privilege to be associated with an organization that recognizes and funds those individuals really working in the trenches, and I look forward to being part of advancing positive change for children everywhere.",Stephanie March
"I made myself a little angry before beam. That's the best way to do beam. It's important to fuel yourself with some devastating things, but I also realized that if I daydream about doing well and having this silver medal, it's more motivating than focusing on the negatives. So I learned to focus on the positive.",Aly Raisman
"Real Madrid wanted me to join their academy. It was a big decision to move when I was 15. It's a key age for a youngster, and you're close to your friends and family. But I moved to Madrid, and my family stayed at home. It made me mature earlier than normal. That was a very big decision, and it changed me in a positive way.",Juan Mata
Faith Words aren't just mere positive affirmations; they open your life up to the supernatural power of God.,Bo Sanchez
"There is so much that is positive, wonderful even, about state schools. At a state school your kids will learn to live alongside and appreciate other kids from many diverse and different cultures.",Arabella Weir
"We know that childhood and adolescence are the most crucial times for environmental stimuli to affect breast cancer risk, but changes made during adulthood and even after diagnosis still have the potential to create positive changes in the body.",Joel Fuhrman
"When I was younger I wish there had been more opportunities to just go out and enjoy myself. So, now that I am in a privileged position I want to try and be a positive influence if I can.",Micah Richards
"Baking has always been one of my many hobbies. After I uploaded my first baking tutorial video, I got a really positive response from the online community, and they started to demand more videos like that.",Rosanna Pansino
"People ask if I feel pigeon-holed by always doing the same kind of humorous role. But my tool has always been humor because it's the most entertaining way to put any ideology across, and it's fun, and it's positive, and it's a healer. Laughter is God's gift. I feel privileged to be able to do it.",Goldie Hawn
"I love Snoop. I worked with him on 'Old School,' and he's very accessible. He's very kind. He's always nice to everyone, to the crew. He's always got something positive to say. He's very childlike and loves to come and play. So, I had fun working with him.",Vince Vaughn
"I'm living on this positive mind frame where I'm only attracting positive things. I'm controlling my energy, I'm eating right, I'm meditating, I'm in the gym, I'm doing all this stuff I'm supposed to be doing. I'm past that young, immature way of thinking. I just want to be great.",Shameik Moore
I think it's high time that we had a woman president. But I don't want to elect someone just because she's a woman; I want the best candidate to be elected. I think that any woman who is elected to the highest office in the land would clearly have positive role model effects for other young women.,Linda McMahon
"I'm really excited about 'Mingle All the Way'. Obviously I love Christmas, I love Christmas music, and the idea of becoming part of someone's positive memories from Christmas because they watch the movie -- I think that's the greatest thing.",Jen Lilley
I'd love to be more involved in sports. There's so much positive energy - I have to be around it. Especially as I get older.,Kyle
"In 1987 I got dartitis, a psychological condition which means you can't let your darts go properly. For a time, I wondered what the hell I was going to do if I didn't recover. But I remained positive and, thankfully, got over it. It occurred during the Swedish Open when I found I couldn't let the darts go.",Eric Bristow
The right to privacy has both positive and negative connotations for those who consider themselves part of the natural law tradition.,David Novak
"I buy everything India Arie, just because she's such a positive person, and I just love her music. Her music's so soulful... I think Kanye West is a genius musically.",Tika Sumpter
"It was at the beginning of 1934 while working on the emission of these positive electrons that we noticed a fundamental difference between that transmutation and all the others so far produced; all the reactions of nuclear chemistry induced were instantaneous phenomena, explosions.",Irene Joliot-Curie
"If you take the duality of things - like sunny-sounding music with weird lyrics on it - it makes this dichotomy. I've never had that because when I make music, I make major chords, happy-sounding stuff, and my lyrics are positive.",Mod Sun
"'Roots' focuses on a particular group of people who defy the odds and win, eventually, even if it isn't in their lifetimes. This is, for me, a very positive story and a very empowering one, if only we have that perspective on it.",Malachi Kirby
"If you look just at the decades after 1934, you know it's hard to point to really inspired and positive support from outside of Haiti, to Haiti, and much easier to point to either small-minded or downright mean-spirited policies.",Paul Farmer
"I think I make films to help bolster and feed the part of me that wants to remain in a positive relationship with the world and to engage in it. So hopefully in non-sentimental ways, I'm trying to make something that helps make me happy.",Mike Mills
"Our thoughts really do create our lives. They've done a lot of research showing if you're an optimistic, positive person you will be a healthier person than if you're a sad, depressed, negative person.",Alana Stewart
"The goals of literature are multifold, but creating nice, positive protagonists that you'd want to grab drinks with or invite home to mom can hardly be considered one of them.",Maria Konnikova
"I write in my study, where I also have my prayer altar. I believe that keeps me focused and gives me positive energy and reminds me that I'm merely the instrument of greater creative forces.",Chitra Banerjee Divakaruni
"When the going got tough, I really had to draw on many of the same competitive instincts I did when I was skating. I really had to put my head down and stay positive. I had to fight.",Peggy Fleming
"The upside to anger? Getting it out of your system. You got to express your anger. Then you have room for more positive things. If I hold something in a long time, and then I speak it, it's amazing how the light shines so much brighter.",Reba McEntire
"Being friends with Hannah Hart has been a huge asset in helping me create better content and just becoming a person that I like. So make an effort to find people who inspire you, intimidate you in a positive way, and support you as much as you support them.",Grace Helbig
It's always overwhelming when you come to another country and you're embraced in such a positive way.,Flo Rida
"Canadians tend to be a bit more religious than most Europeans - though not more than the Poles or Ukrainians. Most important, their attitude to immigration and ethnic minorities is more positive than that of most Europeans.",Timothy Garton Ash
"Love is a positive effect. Love can never have a negative effect, only a positive effect.",Ziggy Marley
"If I can be a positive Arab figure on such a large platform such as the WWE, and become some sort of an inspiration to an Arab kid in Lebanon, Egypt, or Jordan, then that's amazing.",Sami Zayn
We play so hard and overall the Olympics are such a positive experience.,Maya Moore
"Being body positive is really important to your overall happiness. It's hard to see someone with a 'perfect' body and be like, 'Why can't I be like her?' But that person was born to be who she is, and you're born to be who you are.",Sabrina Carpenter
"I've never really let any kind of negative things affect me, generally. I would take a positive out of the most desperately horrible situation.",Eddie the Eagle
"It is true that as people, we tend to remember only the positive. With time, the grim details fade away, and as a species we survive on this notion. In our desire to gloss over the undeniable macabre parts of our American history, we forget. That amnesia manifests itself, especially when dealing with the plight of black men.",Colman Domingo
"I think people are so immersed in the anti-Scientology mindset by consuming tabloid media and stories about space aliens. It's baffling. When I say I want to see a more positive side of the church, all I'm saying is I want to get past these headlines that talk about aliens and Tom Cruise jumping on a sofa.",Louis Theroux
"One of the issues that I've raised on the Foreign Relations Committee, and I raised it when Secretary Locke came for his confirmation hearing, is, you know, it is in our benefit to develop a workable, positive formula with China.",Jim Webb
"I think to do anything out of one's comfort zone, there has to be some aspect of it that feels inspiring and challenging in a positive way.",James Newton Howard
"We tend to think of politics as bad, full of dirty tricks, negative ads, big campaigns, but I am here to explore the original meaning of politics, which is positive and has to do with balancing competing interests and looking for solutions.",Eric Liu
"Since I can barely write two books a year the best solution seems to be co-author projects. My goal isn't to get another writer to clone me... it's more to produce a book that shares my vision of positive, fun entertainment.",Janet Evanovich
"Clearly, there aren't enough positive moments or interactions happening in the workplace. As a result, our economy suffers, companies suffer, and individual relationships suffer.",Tom Rath
